source,target,weight
10203807921498163,903187129712498,1
735090399845847,1307892255953794,3
303197983173042,1591813974379036,2
10156327145920145,851823294869091,1
747415365347664,853929624630925,3
954793754635716,1559276374317269,4
766520503442425,1025533517516194,2
851978538224475,789546817760003,1
845994598785255,10203537238765270,1
922588047783970,967719033289004,2
1139109972812926,10204373013027618,8
1132479766780030,870495389676672,1
909421072537958,360723330940142,1
814685721937473,910457585685914,1
756672587781954,112327509101942,1
977215075632708,1350326538317233,1
805321839506583,764340693665219,2
220501134970127,10203763328938685,16
10152414805174371,10209846546660412,2
10203932073405761,188955124795215,3
10153739323869447,726511607429699,1
723510797722926,838195106215467,1
1196281153783226,575390649271970,2
960892920605780,926530977381482,1
980169608661372,10204309138585367,1
676511539076817,10152429737817167,3
10203870883245748,10205711727617859,3
10203546907746076,10210901893963294,1
10153058317454137,981683175228728,1
1453103324941476,1494632820766216,4
749652185122771,10205842581497061,14
1598982170365683,1739125946403190,1
1110500318977955,10206686659097603,1
1691800061049218,907121212637625,1
398074530333183,1194723507209671,1
10203049339983911,1123768770976834,4
10203482710092578,786678331399569,3
558235237656596,658657980854784,2
10202704498571208,10204784507112815,1
10154634332080314,1417847925202358,11
4204183919331,428225170712435,3
672450452832370,863290913753894,1
10204121443774568,834408456571664,1
695611457165933,821837591192941,1
10203962395357611,10206355286910623,4
747760498617602,10204950893597203,1
177349076024384,284565118407289,1
867137566693996,1274536039341249,1
10203597854125788,10203647827008599,1
875311195814013,693511190727374,1
879102305467489,1014287788583823,1
1599425516945285,1040429965985221,2
1153174391440742,10203690626922766,2
981753241911313,526244877486462,1
4981873842592,10206148853185966,1
704290526303313,111427606015804,16
944348438936936,10201845057202954,2
10203201541054622,801585119884009,1
1191695874248205,400534413436188,1
188587501483844,1529998977258096,2
986255348060167,10204141674362224,3
146241105711705,753126314756987,1
712937608813206,963068453707831,2
616977248386543,768680949832533,1
965997770112177,825904340762498,2
745519005547451,369952673208715,1
10202100855899803,721813314535790,1
771312689574608,10203626061511878,1
1016091678404066,865219720192308,1
904338619591132,1064234273655745,1
888967324456213,1157708704241413,2
212392075884912,1019407771409885,2
628655940547440,1091313504260021,5
10152782725546976,788686817840905,7
988257547895981,10201982590925126,1
10152745758357784,10152395159762922,2
157914427993043,1472936619681391,1
717268144988121,10204238198141256,2
10205465608593239,10202202053811609,1
10205552074738743,652134778206343,1
10205101855491994,10152856895844988,4
10152143806626317,787180761338642,1
10154905529840083,10205652725741196,3
589063721203421,1598798123698113,1
1570486749852164,741614589223527,1
516306485138266,1066304880067666,6
909412209073682,10200178577502570,1
10202124348343740,10204062616781676,2
848400915202932,1085455374864071,1
1750730771808286,990763804342098,1
10203708781625530,788809504498375,1
989787994367566,830247077034546,1
826259814087352,10203997456111724,1
10152037921716976,10205223085970869,1
10206088676365522,1019558828060166,3
732125596877366,955787351107988,2
1456242211363513,10203096411950165,6
679612382110819,693126494133797,2
826148547403235,360086187473439,2
875698442440680,757223154340428,1
828446353833659,619508261451805,3
486403641510863,802284456498317,3
402220496591991,765508700196601,4
171422789926974,10210169219812280,1
965417526842935,10203173968743862,1
760448410721194,1106548546036967,1
776128915763465,776128915763465,1
598652336929026,181922515483226,4
10152062669497997,10203739846639841,1
746083585453252,928589593865812,18
1394168744221884,875830659095095,1
1032637830095212,849581518391760,2
10204112608405166,500433106763846,1
1083360918360237,656585804506224,1
10202221621502216,10152685535427399,1
10201833737513970,10202646460382830,2
10152429617548645,779374685453071,2
495512010578393,487541701386417,1
961165397314295,922491367850241,1
10206948506977999,1027288360622885,2
10204575376412760,977444495648117,2
852935968086959,853868747976440,1
10202848754712514,10206448560590853,1
10201861650138982,1035491639875481,2
796593900403738,4087301716859,1
150306751990999,1186592138087431,2
747632561963770,637166933024657,1
1619900774978807,980319575337003,1
1441026236206967,730193580420243,1
886366908042836,1232254260132463,1
856324104412731,730114450433022,4
10203783894869277,866894363323621,1
749723245085302,792283997491017,2
821959781184467,400586853462745,1
1363449430393539,1015805798460474,1
10202587359474974,746174778786624,2
876812755676648,916099205066832,5
1414250852180327,818329351511084,1
403407679842678,784996298294407,5
832443823458846,536301533181676,7
10152872429255859,10203006294189468,2
508234415986376,1565309283691106,2
1278970142120202,924120930978717,5
